logic_type,rule_id,source_group,category,name,severity,technique,parent_process,child_process,behavior,logic_summary,raw_logic,source_file
chain_rule,chain-65,Execution,Execution,Firefox → cmd — browser exploit,2,T1189,firefox.exe,cmd.exe,,Exact parent->child process name match,Firefox → cmd — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-66,Execution,Execution,Firefox → PS — browser exploit,3,T1189,firefox.exe,powershell.exe,,Exact parent->child process name match,Firefox → PS — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-67,Execution,Execution,IE → cmd — browser exploit,2,T1189,iexplore.exe,cmd.exe,,Exact parent->child process name match,IE → cmd — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-68,Execution,Execution,IE → PS — browser exploit,3,T1189,iexplore.exe,powershell.exe,,Exact parent->child process name match,IE → PS — browser exploit [T1189],src/detection-rules.js
chain_rule,chain-69,Execution,Execution,AcroRd → cmd — PDF exploit,3,T1203,acrord32.exe,cmd.exe,,Exact parent->child process name match,AcroRd → cmd — PDF exploit [T1203],src/detection-rules.js
chain_rule,chain-70,Execution,Execution,AcroRd → PS — PDF exploit,3,T1203,acrord32.exe,powershell.exe,,Exact parent->child process name match,AcroRd → PS — PDF exploit [T1203],src/detection-rules.js
chain_rule,chain-71,Execution,Execution,Foxit → cmd — PDF exploit,3,T1203,foxitreader.exe,cmd.exe,,Exact parent->child process name match,Foxit → cmd — PDF exploit [T1203],src/detection-rules.js
chain_rule,chain-72,Execution,Execution,Foxit → PS — PDF exploit,3,T1203,foxitreader.exe,powershell.exe,,Exact parent->child process name match,Foxit → PS — PDF exploit [T1203],src/detection-rules.js
chain_rule,chain-73,Execution,Execution,IIS → cmd — web shell execution,3,T1190,w3wp.exe,cmd.exe,,Exact parent->child process name match,IIS → cmd — web shell execution [T1190],src/detection-rules.js
chain_rule,chain-74,Execution,Execution,IIS → PS — web shell,3,T1190,w3wp.exe,powershell.exe,,Exact parent->child process name match,IIS → PS — web shell [T1190],src/detection-rules.js
chain_rule,chain-75,Execution,Execution,IIS → csc — web shell compilation,3,T1190,w3wp.exe,csc.exe,,Exact parent->child process name match,IIS → csc — web shell compilation [T1190],src/detection-rules.js
chain_rule,chain-76,Execution,Execution,java → cmd — web shell (Tomcat/WebLogic),2,T1190,java.exe,cmd.exe,,Exact parent->child process name match,java → cmd — web shell (Tomcat/WebLogic) [T1190],src/detection-rules.js
chain_rule,chain-77,Execution,Execution,java → PS — web shell,2,T1190,java.exe,powershell.exe,,Exact parent->child process name match,java → PS — web shell [T1190],src/detection-rules.js
chain_rule,chain-78,Execution,Execution,java → bash — web shell (WSL),2,T1190,java.exe,bash.exe,,Exact parent->child process name match,java → bash — web shell (WSL) [T1190],src/detection-rules.js
chain_rule,chain-79,Execution,Execution,javaw → cmd — web shell,2,T1190,javaw.exe,cmd.exe,,Exact parent->child process name match,javaw → cmd — web shell [T1190],src/detection-rules.js
chain_rule,chain-80,Execution,Execution,Tomcat → cmd — web shell,3,T1190,tomcat.exe,cmd.exe,,Exact parent->child process name match,Tomcat → cmd — web shell [T1190],src/detection-rules.js
chain_rule,chain-81,Execution,Execution,Apache → cmd — web shell,3,T1190,httpd.exe,cmd.exe,,Exact parent->child process name match,Apache → cmd — web shell [T1190],src/detection-rules.js
chain_rule,chain-82,Execution,Execution,ExchMBX → cmd — ProxyShell/OWASSRF,3,T1190,msexchangemailboxreplication.exe,cmd.exe,,Exact parent->child process name match,ExchMBX → cmd — ProxyShell/OWASSRF [T1190],src/detection-rules.js
chain_rule,chain-83,Execution,Execution,ExchUM → cmd — ProxyLogon exploitation,3,T1190,umworkerprocess.exe,cmd.exe,,Exact parent->child process name match,ExchUM → cmd — ProxyLogon exploitation [T1190],src/detection-rules.js
chain_rule,chain-84,Execution,Execution,ExchUM → PS — exploitation,3,T1190,umworkerprocess.exe,powershell.exe,,Exact parent->child process name match,ExchUM → PS — exploitation [T1190],src/detection-rules.js
chain_rule,chain-85,Execution,Execution,SQLSrv → cmd — xp_cmdshell or SQL injection,3,T1190,sqlservr.exe,cmd.exe,,Exact parent->child process name match,SQLSrv → cmd — xp_cmdshell or SQL injection [T1190],src/detection-rules.js
chain_rule,chain-86,Execution,Execution,SQLSrv → PS — SQL injection,3,T1190,sqlservr.exe,powershell.exe,,Exact parent->child process name match,SQLSrv → PS — SQL injection [T1190],src/detection-rules.js
chain_rule,chain-87,Execution,Execution,nginx → cmd — web shell,3,T1190,nginx.exe,cmd.exe,,Exact parent->child process name match,nginx → cmd — web shell [T1190],src/detection-rules.js
chain_rule,chain-88,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Word → mshta — HTA proxy execution,3,T1218.005,winword.exe,mshta.exe,,Exact parent->child process name match,Word → mshta — HTA proxy execution [T1218.005],src/detection-rules.js
chain_rule,chain-89,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Word → regsvr32 — COM scriptlet exec,3,T1218.010,winword.exe,regsvr32.exe,,Exact parent->child process name match,Word → regsvr32 — COM scriptlet exec [T1218.010],src/detection-rules.js
chain_rule,chain-90,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Word → rundll32 — DLL proxy execution,3,T1218.011,winword.exe,rundll32.exe,,Exact parent->child process name match,Word → rundll32 — DLL proxy execution [T1218.011],src/detection-rules.js
chain_rule,chain-91,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Excel → mshta — HTA execution,3,T1218.005,excel.exe,mshta.exe,,Exact parent->child process name match,Excel → mshta — HTA execution [T1218.005],src/detection-rules.js
chain_rule,chain-92,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Excel → regsvr32 — Squiblydoo,3,T1218.010,excel.exe,regsvr32.exe,,Exact parent->child process name match,Excel → regsvr32 — Squiblydoo [T1218.010],src/detection-rules.js
chain_rule,chain-93,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Excel → rundll32 — DLL execution,3,T1218.011,excel.exe,rundll32.exe,,Exact parent->child process name match,Excel → rundll32 — DLL execution [T1218.011],src/detection-rules.js
chain_rule,chain-94,Defense Evasion / LOLBins,Defense Evasion / LOLBins,PPT → mshta — PPT spawning mshta,3,T1218.005,powerpnt.exe,mshta.exe,,Exact parent->child process name match,PPT → mshta — PPT spawning mshta [T1218.005],src/detection-rules.js
chain_rule,chain-95,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Outlook → mshta — HTML attachment exec,3,T1218.005,outlook.exe,mshta.exe,,Exact parent->child process name match,Outlook → mshta — HTML attachment exec [T1218.005],src/detection-rules.js
chain_rule,chain-96,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Outlook → regsvr32 — Outlook → regsvr32 exec,3,T1218.010,outlook.exe,regsvr32.exe,,Exact parent->child process name match,Outlook → regsvr32 — Outlook → regsvr32 exec [T1218.010],src/detection-rules.js
chain_rule,chain-97,Defense Evasion / LOLBins,Defense Evasion / LOLBins,Outlook → rundll32 — Outlook → rundll32 exec,2,T1218.011,outlook.exe,rundll32.exe,,Exact parent->child process name match,Outlook → rundll32 — Outlook → rundll32 exec [T1218.011],src/detection-rules.js
chain_rule,chain-98,Defense Evasion / LOLBins,Defense Evasion / LOLBins,OneNote → mshta — embedded HTA,3,T1218.005,onenote.exe,mshta.exe,,Exact parent->child process name match,OneNote → mshta — embedded HTA [T1218.005],src/detection-rules.js
chain_rule,chain-99,Defense Evasion / LOLBins,Defense Evasion / LOLBins,rundll32 → cmd — DLL proxy to shell,2,T1218.011,rundll32.exe,cmd.exe,,Exact parent->child process name match,rundll32 → cmd — DLL proxy to shell [T1218.011],src/detection-rules.js
chain_rule,chain-100,Defense Evasion / LOLBins,Defense Evasion / LOLBins,rundll32 → PS — DLL proxy exec,2,T1218.011,rundll32.exe,powershell.exe,,Exact parent->child process name match,rundll32 → PS — DLL proxy exec [T1218.011],src/detection-rules.js
chain_rule,chain-101,Defense Evasion / LOLBins,Defense Evasion / LOLBins,rundll32 → CScript — rundll32 → CScript exec,2,T1218.011,rundll32.exe,cscript.exe,,Exact parent->child process name match,rundll32 → CScript — rundll32 → CScript exec [T1218.011],src/detection-rules.js
chain_rule,chain-102,Defense Evasion / LOLBins,Defense Evasion / LOLBins,rundll32 → WScript — rundll32 → WScript exec,2,T1218.011,rundll32.exe,wscript.exe,,Exact parent->child process name match,rundll32 → WScript — rundll32 → WScript exec [T1218.011],src/detection-rules.js
chain_rule,chain-103,Defense Evasion / LOLBins,Defense Evasion / LOLBins,rundll32 → rundll32 — injection/hollowing,2,T1218.011,rundll32.exe,rundll32.exe,,Exact parent->child process name match,rundll32 → rundll32 — injection/hollowing [T1218.011],src/detection-rules.js
chain_rule,chain-104,Defense Evasion / LOLBins,Defense Evasion / LOLBins,regsvr32 → cmd — Squiblydoo/COM scriptlet,2,T1218.010,regsvr32.exe,cmd.exe,,Exact parent->child process name match,regsvr32 → cmd — Squiblydoo/COM scriptlet [T1218.010],src/detection-rules.js
chain_rule,chain-105,Defense Evasion / LOLBins,Defense Evasion / LOLBins,regsvr32 → PS — scriptlet exec,2,T1218.010,regsvr32.exe,powershell.exe,,Exact parent->child process name match,regsvr32 → PS — scriptlet exec [T1218.010],src/detection-rules.js
chain_rule,chain-106,Defense Evasion / LOLBins,Defense Evasion / LOLBins,regsvr32 → WScript — regsvr32 → WScript exec,2,T1218.010,regsvr32.exe,wscript.exe,,Exact parent->child process name match,regsvr32 → WScript — regsvr32 → WScript exec [T1218.010],src/detection-rules.js
chain_rule,chain-107,Defense Evasion / LOLBins,Defense Evasion / LOLBins,regsvr32 → CScript — regsvr32 → CScript exec,2,T1218.010,regsvr32.exe,cscript.exe,,Exact parent->child process name match,regsvr32 → CScript — regsvr32 → CScript exec [T1218.010],src/detection-rules.js
chain_rule,chain-108,Defense Evasion / LOLBins,Defense Evasion / LOLBins,regsvr32 → mshta — chained proxy exec,2,T1218.010,regsvr32.exe,mshta.exe,,Exact parent->child process name match,regsvr32 → mshta — chained proxy exec [T1218.010],src/detection-rules.js
chain_rule,chain-109,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → cmd — HTA payload execution,2,T1218.005,mshta.exe,cmd.exe,,Exact parent->child process name match,mshta → cmd — HTA payload execution [T1218.005],src/detection-rules.js
chain_rule,chain-110,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → PS — HTA to PS cradle,3,T1218.005,mshta.exe,powershell.exe,,Exact parent->child process name match,mshta → PS — HTA to PS cradle [T1218.005],src/detection-rules.js
chain_rule,chain-111,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → WScript — chained script exec,2,T1218.005,mshta.exe,wscript.exe,,Exact parent->child process name match,mshta → WScript — chained script exec [T1218.005],src/detection-rules.js
chain_rule,chain-112,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → CScript — mshta → CScript exec,2,T1218.005,mshta.exe,cscript.exe,,Exact parent->child process name match,mshta → CScript — mshta → CScript exec [T1218.005],src/detection-rules.js
chain_rule,chain-113,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → rundll32 — chained proxy,2,T1218.005,mshta.exe,rundll32.exe,,Exact parent->child process name match,mshta → rundll32 — chained proxy [T1218.005],src/detection-rules.js
chain_rule,chain-114,Defense Evasion / LOLBins,Defense Evasion / LOLBins,mshta → regsvr32 — chained proxy,2,T1218.005,mshta.exe,regsvr32.exe,,Exact parent->child process name match,mshta → regsvr32 — chained proxy [T1218.005],src/detection-rules.js
chain_rule,chain-115,Defense Evasion / LOLBins,Defense Evasion / LOLBins,CMSTP → cmd — INF-based bypass,2,T1218.003,cmstp.exe,cmd.exe,,Exact parent->child process name match,CMSTP → cmd — INF-based bypass [T1218.003],src/detection-rules.js
chain_rule,chain-116,Defense Evasion / LOLBins,Defense Evasion / LOLBins,CMSTP → PS — INF-based bypass,2,T1218.003,cmstp.exe,powershell.exe,,Exact parent->child process name match,CMSTP → PS — INF-based bypass [T1218.003],src/detection-rules.js
chain_rule,chain-117,Defense Evasion / LOLBins,Defense Evasion / LOLBins,msiexec → cmd — malicious MSI custom action,2,T1218.007,msiexec.exe,cmd.exe,,Exact parent->child process name match,msiexec → cmd — malicious MSI custom action [T1218.007],src/detection-rules.js
chain_rule,chain-118,Defense Evasion / LOLBins,Defense Evasion / LOLBins,msiexec → PS — MSI payload,2,T1218.007,msiexec.exe,powershell.exe,,Exact parent->child process name match,msiexec → PS — MSI payload [T1218.007],src/detection-rules.js
chain_rule,chain-119,Defense Evasion / LOLBins,Defense Evasion / LOLBins,msiexec → rundll32 — MSI DLL action,1,T1218.007,msiexec.exe,rundll32.exe,,Exact parent->child process name match,msiexec → rundll32 — MSI DLL action [T1218.007],src/detection-rules.js
chain_rule,chain-120,Defense Evasion / LOLBins,Defense Evasion / LOLBins,cmd → msiexec — remote MSI install,1,T1218.007,cmd.exe,msiexec.exe,,Exact parent->child process name match,cmd → msiexec — remote MSI install [T1218.007],src/detection-rules.js
chain_rule,chain-121,Defense Evasion / LOLBins,Defense Evasion / LOLBins,InstallUtil → cmd — .NET payload execution,2,T1218.004,installutil.exe,cmd.exe,,Exact parent->child process name match,InstallUtil → cmd — .NET payload execution [T1218.004],src/detection-rules.js
chain_rule,chain-122,Defense Evasion / LOLBins,Defense Evasion / LOLBins,MSBuild → cmd — inline task execution,2,T1127.001,msbuild.exe,cmd.exe,,Exact parent->child process name match,MSBuild → cmd — inline task execution [T1127.001],src/detection-rules.js
chain_rule,chain-123,Defense Evasion / LOLBins,Defense Evasion / LOLBins,MSBuild → PS — inline task,2,T1127.001,msbuild.exe,powershell.exe,,Exact parent->child process name match,MSBuild → PS — inline task [T1127.001],src/detection-rules.js
chain_rule,chain-124,Defense Evasion / LOLBins,Defense Evasion / LOLBins,xwizard → cmd — COM object hijack,2,T1218,xwizard.exe,cmd.exe,,Exact parent->child process name match,xwizard → cmd — COM object hijack [T1218],src/detection-rules.js
chain_rule,chain-125,Defense Evasion / LOLBins,Defense Evasion / LOLBins,pcalua → cmd — proxy exec of cmd,2,T1218,pcalua.exe,cmd.exe,,Exact parent->child process name match,pcalua → cmd — proxy exec of cmd [T1218],src/detection-rules.js
chain_rule,chain-126,Defense Evasion / LOLBins,Defense Evasion / LOLBins,pcalua → PS — proxy exec of PS,2,T1218,pcalua.exe,powershell.exe,,Exact parent->child process name match,pcalua → PS — proxy exec of PS [T1218],src/detection-rules.js
chain_rule,chain-127,Defense Evasion / LOLBins,Defense Evasion / LOLBins,pcalua → mshta — proxy exec of mshta,2,T1218,pcalua.exe,mshta.exe,,Exact parent->child process name match,pcalua → mshta — proxy exec of mshta [T1218],src/detection-rules.js
chain_rule,chain-128,Defense Evasion / LOLBins,Defense Evasion / LOLBins,forfiles → cmd — indirect command exec,1,T1202,forfiles.exe,cmd.exe,,Exact parent->child process name match,forfiles → cmd — indirect command exec [T1202],src/detection-rules.js
chain_rule,chain-129,Defense Evasion / LOLBins,Defense Evasion / LOLBins,forfiles → PS — indirect PS execution,2,T1202,forfiles.exe,powershell.exe,,Exact parent->child process name match,forfiles → PS — indirect PS execution [T1202],src/detection-rules.js
